State,Value_added_2022,Value_added_2015,CAGR
Johor,4067745,2582662,6.70
Kedah,905386,1028566,-1.81
Kelantan,822786,880938,-0.97
Melaka,899331,816607,1.39
Negeri Sembilan,996181,828756,2.66
Pahang,1142520,897199,3.51
Pulau Pinang,3063830,2375730,3.70
Perak,1719865,1480944,2.16
Perlis,173007,158424,1.27
Selangor,18519601,8291207,12.17
Terengganu,887524,620782,5.24
Sabah,2015853,1342031,5.98
Sarawak,1967455,1439830,4.56
WP K Lumpur,6428886,5049217,3.51
WP Labuan,74786,65455,1.92
WP Putrajaya,145926,114527,3.52