State,Value_of_Gross_Output_2022,Value_of_Gross_Output_2015,CAGR
Johor,8915848,5925018,6.01
Kedah,2368691,2495623,-0.74
Kelantan,1917697,2021025,-0.75
Melaka,1903815,1754550,1.17
Negeri Sembilan,2249161,1894019,2.49
Pahang,2892641,2124076,4.51
Pulau Pinang,7010609,5286835,4.11
Perak,4318773,3841174,1.69
Perlis,411541,380038,1.14
Selangor,39905366,19091271,11.11
Terengganu,1886711,1431007,4.03
Sabah,4443211,3004900,5.75
Sarawak,4221794,3350487,3.36
WP K Lumpur,15913827,13348602,2.54
WP Labuan,216252,175946,2.99
WP Putrajaya,383280,261053,5.64