State,Value_of_intermediate_input_2022,Value_of_intermediate_input_2015,CAGR
Johor,4848103,3342356,5.46
Kedah,1463305,1467057,-0.04
Kelantan,1094911,1140087,-0.58
Melaka,1004484,937943,0.98
Negeri Sembilan,1252980,1065263,2.345
Pahang,1750121,1226877,5.21
Pulau Pinang,3946779,2911105,4.44
Perak,2598908,2360230,1.39
Perlis,238534,221614,1.06
Selangor,21385765,10800064,10.25
Terengganu,999187,810225,3.04
Sabah,2427358,1662869,5.55
Sarawak,2254339,1910657,2.39
WP K Lumpur,9484941,8299385,1.93
WP Labuan,141466,110491,3.59
WP Putrajaya,237354,146526,7.13